Tracking number,Payment type,Pickup Date Time in IST,Delivery Date Time in IST,Days taken for delivery,Shipment weight,Pickup Pincode,Pickup City,Pickup State,Drop Pincode,Drop City,Drop State,Number of delivery attempts needed
391128701026,COD,2020-03-16 15:44:00+05:30,2020-03-20 13:37:00+05:30,3,14.0,560048,Bangalore,KA,122001,Gurgaon,HR,1
390901883808,Prepaid,2020-03-06 16:07:00+05:30,2020-03-09 19:50:00+05:30,3,14.0,560048,Bangalore,KA,560034,Bangalore,KA,1
391128749178,Prepaid,2020-03-16 15:44:00+05:30,2020-03-19 15:29:00+05:30,2,14.0,560048,Bangalore,KA,380028,Ahmedabad,GJ,1
390807986805,Prepaid,2020-03-03 16:19:00+05:30,2020-03-07 14:24:00+05:30,3,14.0,560048,Bangalore,KA,110088,New Delhi,DL,1
390948921190,COD,2020-03-09 15:12:00+05:30,2020-03-13 14:44:00+05:30,3,14.0,560048,Bangalore,KA,110009,Delhi,DL,1
390950106897,Prepaid,2020-03-09 15:12:00+05:30,2020-03-12 16:00:00+05:30,3,14.0,560048,Bangalore,KA,400053,Mumbai,MH,1
391128762808,Prepaid,2020-03-16 15:44:00+05:30,2020-03-18 12:09:00+05:30,1,14.0,560048,Bangalore,KA,400052,Mumbai,MH,1
390807994538,Prepaid,2020-03-03 16:19:00+05:30,2020-03-07 15:19:00+05:30,3,14.0,560048,Bangalore,KA,110087,New Delhi,DL,1
390950134073,COD,2020-03-09 15:12:00+05:30,2020-03-13 14:44:00+05:30,3,14.0,560048,Bangalore,KA,110009,Delhi,DL,1
390950572730,Prepaid,2020-03-09 15:12:00+05:30,2020-03-10 15:30:00+05:30,1,28.0,560048,Bangalore,KA,560038,Bangalore,KA,1
390839041400,COD,2020-03-04 16:13:00+05:30,2020-03-09 14:45:00+05:30,4,14.0,560048,Bangalore,KA,110027,Delhi,DL,1
390807999654,Prepaid,2020-03-03 16:19:00+05:30,2020-03-12 13:00:00+05:30,8,14.0,560048,Bangalore,KA,827001,Bokaro steel City,JH,1
390767871261,Prepaid,2020-03-02 16:23:00+05:30,2020-03-11 18:30:00+05:30,9,14.0,560048,Bangalore,KA,122001,Gurugram,HR,2
391018702750,Prepaid,2020-03-11 16:39:00+05:30,2020-03-18 19:26:00+05:30,7,14.0,560048,Bangalore,KA,226010,Lucknow,UP,1
390931993491,COD,2020-03-07 16:27:00+05:30,2020-03-11 14:31:00+05:30,3,14.0,560048,Bangalore,KA,380015,ahmedabad,GJ,1
391080326650,COD,2020-03-13 17:14:00+05:30,2020-03-20 16:00:00+05:30,6,14.0,560048,Bangalore,KA,400604,Thane,MH,5
390870220230,COD,2020-03-05 19:20:00+05:30,2020-03-14 18:15:00+05:30,8,14.0,560048,Bangalore,KA,500072,Hyderabad,TS,2
390901963670,COD,2020-03-06 16:07:00+05:30,2020-03-10 18:00:00+05:30,4,14.0,560048,Bangalore,KA,500033,HYDERABAD,TS,1
390950151411,COD,2020-03-09 15:12:00+05:30,2020-03-13 14:44:00+05:30,3,14.0,560048,Bangalore,KA,110009,Delhi,DL,1
